시장명,URL,비고,주소,개별 운영 사이트,배달지역,배달불가,배달시간,배달비용
경동시장,https://shopping.naver.com/market/traditionalmarket?storeId=100840011,성북구,서울 동대문구 고산자로36길 3,http://smartstore.naver.com/kd_market,"신설동, 용두동, 제기동, 전농동, 답십리동, 청량리동, 회기동, 휘경동","장안동, 이문동",매일?10:00 -?19:00?(2시간 이내 배달),"4,000원?(최소주문금액 15,000원)"
고척근린시장,https://shopping.naver.com/market/traditionalmarket?storeId=100840017,구로구,서울 구로구 고척로32길 11-3,https://blog.naver.com/geunrinsijang,"고척동,개봉동,오류동,궁동,천왕동,항동,온수동","가리봉동, 구로동, 신도림동",매일?10:00 -?19:00?(2시간 이내 배달),"4,000원?(최소주문금액 15,000원)"
금남시장,https://shopping.naver.com/market/traditionalmarket?storeId=100840024,성동구,서울 성동구 독서당로 303-7,http://keumnammarket.com/,성동구 및 중구,"마장동, 사근동, 성수동, 송정동, 용답동",매일?10:00 -?19:00?(2시간 이내 배달),"4,000원?(최소주문금액 15,000원)"
남성사계시장,https://shopping.naver.com/market/traditionalmarket?storeId=100938154,동작구,서울 동작구 동작대로29길 47,www.nssagye.com,"동작구 사당동, 서초구 방배동, 관악구 남현동",,매일?10:00 -?17:00?(2시간 이내 배달),"4,000원?(최소주문금액 15,000원)"
대림중앙시장,https://shopping.naver.com/market/traditionalmarket?storeId=100840031,영등포구,서울 영등포구 디지털로37나길 21,https://blog.naver.com/daerimmk,서울시 영등포구 전 지역,,매일?10:00 -?18:00?(2시간 이내 배달),"4,000원?(최소주문금액 15,000원)"
도곡시장,https://shopping.naver.com/market/traditionalmarket?storeId=100840035,강남구,서울 강남구 역삼동,,"역삼동, 삼성동, 도곡동, 대치동","압구정동, 신사동, 논현동, 청담동, 개포동, 일원동, 수서동, 자곡동, 세곡동, 율현동",매일?10:00 -?19:00?(2시간 이내 배달),"4,000원?(최소주문금액 15,000원)"
돈암제일시장,https://shopping.naver.com/market/traditionalmarket?storeId=100840048,성북구,서울 성북구 동소문동5가 118-1,,서울시 성북구 일부지역,"석관동, 월곡동, 장위동",매일?10:00 -?17:00?(2시간 이내 배달),"4,000원?(최소주문금액 15,000원)"
동원전통시장,https://shopping.naver.com/market/traditionalmarket?storeId=100840055,중랑구,중랑구 면목로74길 45 동원시장,,서울시 중랑구 일부지역,"묵동, 신내동",매일?10:00 -?17:00?(2시간 이내 배달),"4,000원?(최소주문금액 15,000원)"
망원시장,https://shopping.naver.com/market/traditionalmarket?storeId=100840059,마포구,서울 마포구 포은로8길 14,https://mangwonsijang.modoo.at,마포구 일부지역,"공덕동,도화동,아현동,염리동,용강동",매일?10:00 -?19:00?(2시간 이내 배달),"4,000원?(최소주문금액 15,000원)"
방학동도깨비시장,https://shopping.naver.com/market/traditionalmarket?storeId=100840069,도봉구,서울 도봉구 방학동 727-6,http://bhdokkaebi.modoo.at/,서울시 도봉구 전 지역,매일?10:00 -?19:00?(2시간 이내 배달),"최소주문금액 15,000원","4,000원"
